date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:25	1494/1494	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Apr%202021%2006:28:19%20GMT	https://amalfipizza.com.au/robots.txt		(from )
23:43:27	2222414/2222414	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2018:43:26%20GMT	https://amalfipizza.com.au/	C:/Users/Sumair%20Shah/Desktop/rest/Extract/amalfipizza.com.au/index.html	(from )
23:43:29	5044/5044	---M--	200	added ('OK')	image/png	etag:%229361429348f39d63dae45074090c7811%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/images/favicon.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/images/favicon.png	(from https://amalfipizza.com.au/)
23:43:29	0/0	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2018:43:29%20GMT	https://amalfipizza.com.au/core/	C:/Users/Sumair%20Shah/Desktop/rest/Extract/amalfipizza.com.au/core/index.html	(from https://amalfipizza.com.au/)
23:43:30	6568/6568	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Apr%202021%2006:28:19%20GMT	https://amalfipizza.com.au/images/startup.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/amalfipizza.com.au/images/startup.png	(from https://amalfipizza.com.au/)
23:43:32	199905/199905	---M--	200	added ('OK')	text/css	etag:%22cd54c02f305df80f9ba1c5e332ba054f%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/all.css	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/all.css	(from https://amalfipizza.com.au/)
23:43:33	263735/263735	---M--	200	added ('OK')	text/css	etag:%22e9847352603d11d333922b76bad476cb%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/style.css	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/style.css	(from https://amalfipizza.com.au/)
23:43:33	47978/47978	---M--	200	added ('OK')	text/css	etag:%2272ba7054fd734f0d71ff90a7f525804d%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/platina.css	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/platina.css	(from https://amalfipizza.com.au/)
23:43:34	81062/81062	---M--	200	added ('OK')	text/css	etag:%22a4d9d168573152de6c3fd5bd8f1e4f59%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/font-awesome.min.css	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/font-awesome.min.css	(from https://amalfipizza.com.au/)
23:43:34	8836/8836	---M--	200	added ('OK')	text/css	etag:%2286d3a7e2ffd341f5c49f13aca693233d%22	https://deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/login-v2.css	C:/Users/Sumair%20Shah/Desktop/rest/Extract/deliverit-online-resources-prd.s3.ap-southeast-2.amazonaws.com/templates/template4/css/login-v2.css	(from https://amalfipizza.com.au/)
